name,batch,industry,region,one_liner,website,status,team_size
Patent Watch,F25,B2B,,AI for detecting patent infringements,https://www.patentwatch.ai/,Active,2
s2.dev,F25,"B2B, Infrastructure",,"API for unlimited, durable, real-time streams",https://s2.dev,Active,5
Tornyol,F25,"Consumer, Consumer Electronics",,We build micro-drones that kill mosquitoes.,https://tornyol.com/,Active,3
Nucleo,F25,Healthcare,,The first Agentic platform for Oncology,https://nucleoresearch.com/,Active,2
Leadbay,F25,"B2B, Sales",,Discover and qualify SMB leads that couldn't be found before.,https://leadbay.ai/,Active,8
Pixley AI,F25,"Consumer, Content",,The first platform where parents & kids can co-create AI cartoon shows,https://pixleyai.com,Active,2
Cortex AI,F25,"Industrials, Manufacturing and Robotics",,Large-scale real-world robot & human data for embodied AI,https://cortexrobot.ai/,Active,3
Inspector,F25,"B2B, Engineering, Product and Design",,AI IDE for front-end development,https://www.tryinspector.com,Active,2
Thesis,F25,B2B,,An AI lab at your fingertips.,https://thesislabs.ai,Active,2
Oxus,W26,B2B,,AI-powered automation for internal audit workflows,https://oxus-ai.com/,Active,3
Play Health,F25,Healthcare,,Perimenopause Care Platform,http://playhealth.com,Active,4
Casey,F25,"Fintech, Insurance",,Casey is the first global AI-native insurance brokerage,https://www.meetcasey.ai/,Active,3
Selfin,F25,"Fintech, Consumer Finance",,Building the first AI Bank,https://selfin.app,Active,2
Compyle,F25,"B2B, Engineering, Product and Design",,The coding agent that actually collaborates with you,https://compyle.ai,Active,2
Lexi,F25,"B2B, Legal",,AI Associates for Corporate Law,https://getlexi.io/,Active,4
Codyco,F25,B2B,,The AI Reservation Team for Hotel Groups,https://www.codyco.ai/en,Active,4
ComplyDo,F25,"B2B, Legal",,Global Compliance for Enterprises,https://www.complydo.io/,Active,8
Bravi,F25,B2B,,The AI operating system powering home services businesses,https://www.bravi.app/,Active,2
Rovr,F25,"B2B, Engineering, Product and Design",,AI FDE Engine that runs your engineering workflows,https://www.withrovr.com/,Active,3
Sunflower,F25,Consumer,,Building the Sobriety Platform for the future of Superintelligence. 🌻,https://sunflowersober.com/,Active,15
Captain,W26,"B2B, Infrastructure",,Accurate knowledge search that scales,https://runcaptain.com,Active,2
Articulate,F25,"Real Estate and Construction, Construction",,Automatic Construction Drawing Clash Detection,https://usearticulate.com,Active,2
Aleph Lab,F25,Consumer,,AI language buddy in the games kids love,http://alephlab.ai/,Active,1
Logical,F25,"B2B, Productivity",,"A proactive desktop copilot. Clippy, but actually good.",https://trylogical.ai,Active,2
Agentic Fabriq,W26,B2B,,Okta for Agents.,https://www.agenticfabriq.com,Active,2
Travo,W26,Real Estate and Construction,,We use AI to collect and analyze real estate data,https://www.travoai.com/,Active,4
Tensr,F25,"Industrials, Manufacturing and Robotics",,Fully autonomous robotic factories,https://tensr.com/,Active,3
Kestrel AI,F25,"B2B, Security",,AI-Native Cloud Incident Response Platform,https://usekestrel.ai/,Active,2
LogosGuard,F25,B2B,,The risk management software for enterprises adopting AI,https://logosguard.com/,Active,2
Sciloop,F25,"B2B, Productivity",,AI Co-Scientist that automates ML experimentation and analysis.,https://sciloop.dev,Active,2
Multifactor,F25,"B2B, Security",,"Zero-trust authentication, authorization, and auditing for AI agents",https://multifactor.com,Active,3
Allus AI,F25,"Industrials, Manufacturing and Robotics",,Transforming manufacturing with our next-gen Vision Foundation Model,https://allus.ai,Active,3
Unsiloed AI,F25,B2B,,API for parsing multimodal unstructured data,https://www.unsiloed.ai/,Active,2
SF Tensor,F25,"B2B, Infrastructure",,Infrastructure for AI labs to focus on research.,https://sf-tensor.com,Active,4
AnswerThis,F25,Consumer,,End-to-end workspace to accelerate scientific discovery,https://answerthis.io/,Active,6
Nivara,F25,"B2B, Sales",,AI-powered market intelligence for the local economy,https://getnivara.com,Active,2
Lakonia,F25,Government,,Delivering AI-powered situational awareness in tactical environments.,https://lakonia.us.com,Active,2
SellRaze,F25,Consumer,,The fastest way to sell online.,https://sellraze.com,Active,2
Mod AI,F25,B2B,,The First AI Email Client for Accounting,https://usemod.ai,Active,4
Semble AI,F25,"B2B, Engineering, Product and Design",,Autonomous building-system design for construction companies.,https://www.sembleai.com,Active,2
Flick,F25,"Consumer, Content",,"Figma + Cursor, for AI Filmmaking",https://flick.art,Active,2
hillclimb,F25,"B2B, Engineering, Product and Design",,The world's first human superintelligence community,https://hillclimb.com,Active,4
AtlasGrid,F25,"B2B, Engineering, Product and Design",,Accelerate Product Iteration,https://atlasgrid.ai,Active,6
Wardstone,F25,"Industrials, Aviation and Space",,Satellites for Missile Defense,https://www.wardstone.space,Active,2
Nessie,F25,Consumer,,Shareable AI Brains for Everyone,https://nessielabs.com/,Active,2
Hypercubic,F25,B2B,,AI to maintain and modernize COBOL.,https://www.hypercubic.ai/,Active,2
Cranston AI,F25,"B2B, Finance and Accounting",,Full Stack AI Accounting Firm,https://www.cranstonai.com/,Active,2
Questom,F25,"B2B, Sales",,AI Agents for B2B Sales,https://www.questom.ai,Active,2
Velum Labs,W26,B2B,,The OS for data quality across any stack,https://www.velum-labs.com/,Active,2
Veria Labs,F25,"B2B, Security",,Continuous AI pentesting that finds and fixes vulnerabilities,https://verialabs.com,Active,3
Iris,F25,Consumer,,The Digital Extension of Yourself,https://textiris.com/,Active,2
PlayVision,F25,"B2B, Analytics",,AI Moneyball for Sports,https://withplayvision.ai/,Active,2
Koyal,F25,"Consumer, Content",,Agentic AI Filmmaking Platform,https://koyal.ai,Active,5
Kaigo Health,F25,"Healthcare, Healthcare IT",,AI outpatient care workforce,https://www.kaigohealth.ai/,Active,3
Norra,F25,Healthcare,,Automating equipment operations for nursing facilities,https://www.norra.io,Active,2
Lunavo,F25,"B2B, Supply Chain and Logistics",,Lunavo is the AI assistant for carriers.,https://lunavo.ai,Active,2
Dari,F25,B2B,,An API to build the most reliable browser use agents,https://usedari.com,Active,2
The Context Company,F25,"B2B, Engineering, Product and Design",,Monitor AI agents and understand user behavior,https://thecontext.company,Active,2
Sorce,F25,"B2B, Human Resources",,Tinder for jobs,https://sorce.jobs,Active,5
Caddy,F25,"B2B, Engineering, Product and Design",,The voice interface that works proactively for you,https://trycaddy.ai/,Active,3
Alt-X,F25,Fintech,,Automation for institutional-grade financial modeling in Excel,https://alt-x.co,Active,2
Locus,F25,"B2B, Engineering, Product and Design",,Payment infrastructure for AI agents,https://paywithlocus.com,Active,2
Deeptrace,F25,B2B,,AI agents for on-call,https://deeptrace.com/,Active,4
Aspect,F25,"B2B, Engineering, Product and Design",,AI Visual Understanding for Multimodal Data,https://aspect.inc,Active,3
Scoop,F25,B2B,,Automating regulatory submissions for life sciences,https://scooplabs.ai,Active,2
Hyperspell,F25,"B2B, Infrastructure",,Memory for AI Agents,https://hyperspell.com,Active,3
Bolna AI,F25,B2B,,Voice AI to enable India's next billion,https://bolna.ai,Active,5
Nexus,F25,B2B,,We help non-technical teams build AI agents without engineers,https://agent.nexus,Active,2
Zavo,F25,"Fintech, Payments",,AI Point of Sale for Restaurants,https://zavopay.com,Active,8
MOVEdot,F25,"B2B, Engineering, Product and Design",,AI Agents for Hardware Engineering,https://www.movedot.ai/,Active,10
Parrot,F25,Consumer,,TikTok for language learning,https://parrotapp.com/,Active,3
Brickwise,F25,"Real Estate and Construction, Housing and Real Estate",,AI property manager for landlords and estate agents,https://www.brickwiseai.com,Active,2
Parse,F25,B2B,,Build an API to interact with any website.,https://parse.bot,Active,2
Structured AI,F25,"Real Estate and Construction, Construction",,AI workforce for Construction Engineering,https://www.getstructured.ai/,Active,7
Uplane,F25,"B2B, Marketing",,Replace marketing agencies with AI,https://uplane.com,Active,7
AirCaps,F25,Consumer,,The AI copilot for in-person conversations.,https://aircaps.com,Active,2
Brickanta,F25,"B2B, Infrastructure",,"Construction's AI platform for bid analysis, estimation and…",https://www.brickanta.com,Active,8
F2,S25,"B2B, Engineering, Product and Design",,The AI platform for private markets investors,http://f2.ai,Active,20
Remedy,F25,Healthcare,,AI Agents for Pharmacies,http://www.useremedy.co,Active,2
Semiotic,F25,"B2B, Engineering, Product and Design",,Studio-Grade Design at Scale,http://semiotic.com,Active,3
Lapis,F25,"B2B, Analytics",,"AI Image Ads for Meta, Linkedin, and Google",https://www.trylapis.com/,Active,4
Nox Metals,S25,"Industrials, Manufacturing and Robotics",,Supplying America's Industrial Base,https://noxmetals.co/,Active,11
Digipals,F25,"Consumer, Social",,The future of Social in the age of AI,https://www.digipals.app/,Active,3
Blue,S25,Consumer,,The first voice assistant that can control every app on your iPhone,https://heyblue.com/,Active,4
Mixy,F25,Consumer,,Make mashups without knowing how to DJ,https://usemixy.com,Active,2
Paloma,S25,B2B,,AI-native CRM for putting post-sales operations on autopilot,https://getpaloma.ai/,Active,3
Uplift AI,S25,B2B,,Foundational Voice Models for regional languages,https://upliftai.org/,Active,5
RealRoots,S25,"Consumer, Social",,AI social app for women,http://www.therealroots.com,Active,7
Luminal,S25,"B2B, Infrastructure",,Making AI run fast on any hardware.,https://luminal.com,Active,3
Freya,S25,Fintech,,Voice AI for Enterprises,https://freyavoice.ai/,Active,5
burnt,S25,"B2B, Supply Chain and Logistics",,Agentic Operating System for Food Supply Chain,https://getburnt.ai/,Active,3
Avent,S25,B2B,,AI agents for industrial commerce,https://www.aventindustrial.com,Active,2
Ruvo,S25,Fintech,,The Global Dollar App for Brazil,https://ruvo.com/,Active,6
Veritus,S25,"Fintech, Credit and Lending",,AI agents for the consumer lending industry,https://www.veritus.com,Active,10
Outrove,S25,"B2B, Recruiting and Talent",,Ultra-realistic AI Recruiter,https://www.outrove.ai/,Active,2
NOSO LABS,S25,Industrials,,Build AI agents for field technicians to diagnose and sell 10x better,https://noso.so,Active,3
Vulcan Technologies,S25,"B2B, Legal",,AI regulatory drafting and compliance,https://www.vulcan-tech.com/,Active,6
Bizzy AI,S25,"B2B, Marketing",,Bizzy works 24/7 so you never miss a lead.,https://www.usebizzy.com/,Active,
Spotlight Realty,S25,Real Estate and Construction,,AI powered brokerage reducing residential rental commissions in NYC…,https://www.spotlight.realty,Active,4
Interfere,S25,"B2B, Engineering, Product and Design",,Build software that never breaks,https://interfere.com,Active,5
Munify,S25,Fintech,,The Cross-Border Neobank for the Middle East,https://munify.ai,Active,4
RowFlow,S25,"B2B, Operations",,Replacing forms with AI conversations,https://rowflow.ai,Active,2
TectoAI,S25,B2B,,A Platform for AI Governance,https://www.tecto.ai/,Active,2
Duranium,S25,"Industrials, Manufacturing and Robotics",,Reshoring critical metal production,https://www.duranium.co/,Active,4
Perspectives Health,S25,"Healthcare, Healthcare IT",,Automating away admin for behavioral health clinics,https://perspectiveshealth.ai/,Active,4
Modelence,S25,"B2B, Infrastructure",,The full-stack platform for agentic development,https://modelence.com,Active,3
Magnetic,S25,"B2B, Productivity",,AI Tax Preparer for CPA firms,https://www.magnetictax.com,Active,2
Fleetline,S25,"B2B, Supply Chain and Logistics",,Optimizing fleet planning with data driven algorithms,https://fleetline.ai,Active,3
Clodo,S25,"B2B, Sales",,Vibe GTM. Execute your outbound ideas with just a prompt,https://clodo.ai,Active,2
stagewise,S25,"B2B, Engineering, Product and Design",,The frontend coding agent for real codebases.,https://stagewise.io,Active,2
Flywheel AI,S25,"Industrials, Manufacturing and Robotics",,Waymo for excavators,https://useflywheel.ai/,Active,2
Button Computer,W26,"B2B, Engineering, Product and Design",,Button is the wearable AI that can talk.,https://buttoncomputer.com,Active,2
Juxta,S25,B2B,,Building a GPS alternative 100x more powerful with no hardware needed.,https://juxta.com,Active,
Okibi,S25,B2B,,"Build AI coworkers using natural language, it's Lovable for agents",https://okibi.ai,Active,2
Pollen,W26,"B2B, Operations",,AI Agents for Customer Success,https://www.pollen.cx/,Active,3
dScribe AI,S25,"B2B, Supply Chain and Logistics",,Computer vision for bulk inventory tracking,https://dscribeai.com/,Active,2
KERNEL,S25,"B2B, Infrastructure",,"Crazy fast, open source infra for AI agents to use the Internet",https://www.kernel.sh,Active,6
Reacher,S25,B2B,,We automate creator marketing for the world's largest brands,https://reacherapp.com/,Active,15
Certus AI,S25,B2B,,Replacing the restaurant phone line with Voice AI,https://www.certus-ai.com/,Active,3
Hera,S25,"B2B, Engineering, Product and Design",,AI Motion Designer,https://hera.video/,Active,5
Notte,S25,B2B,,Reliable Web Agents for Enterprise,https://www.notte.cc/,Active,5
Pally,S25,"B2B, Productivity",,Intelligent Unified Inbox + Personal CRM,https://pally.com,Active,3
Locata,S25,"Healthcare, Healthcare IT",,AI Referral Automation for Primary Care Clinics,https://www.locatahealth.com/,Active,4
Fernstone,F25,"Fintech, Insurance",,Full-stack insurance brokerage for businesses.,https://www.fernstone.com,Active,2
Pleom,S25,"B2B, Analytics",,Agentic Business Intelligence,https://pleom.com,Active,
Convexia,S25,"Healthcare, Drug Discovery and Delivery",,The world's first AI-maximalist pharma company,https://convexia.bio,Active,4
SigmanticAI,S25,"B2B, Engineering, Product and Design",,The Cursor for Chip Design - Delivering Silicon-Ready Chip Designs…,https://www.sigmanticai.com,Active,2
Opennote,S25,Consumer,,The notebook that thinks with you.,https://opennote.com,Active,3
Sira,S25,"B2B, Human Resources",,AI Native Rippling for Deskless Workers,https://sira.team,Active,
F4,S25,Industrials,,Automating compliance checks for engineering drawings,https://f4.dev/,Active,5
Metis,S25,"B2B, Infrastructure",,Infrastructure to build reliable agents,https://withmetis.ai,Active,13
Eden,S25,"B2B, Sales",,Synthetic data + simulators for sales demos,https://tryeden.ai,Active,2
Altur,S25,B2B,,Voice AI Agents for Debt Collection,https://altur.io,Active,3
PARES AI,S25,Real Estate and Construction,,Helping commercial real estate brokers find and close more deals.,https://www.pares.ai/,Active,3
Avelis Health,S25,"Healthcare, Healthcare IT",,We audit medical claims for self-insured employers and health plans.,https://avelishealth.com,Active,2
Nautilus,S25,"B2B, Sales",,AI platform to grow and to optimize car washes,https://nautilus.co,Active,3
Humoniq,S25,B2B,,AI-Native BPO for travel & transport,https://humoniq.ai,Active,6
Palace,S25,"B2B, Supply Chain and Logistics",,"Palace plans, coordinates, and executes daily ops for trucking fleets",https://www.palace.so,Active,2
Idler,S25,"B2B, Engineering, Product and Design",,Reinforcement learning environments.,https://idler.ai/,Active,14
Floot,S25,"B2B, Engineering, Product and Design",,The easiest way for non-coders to build apps with AI.,https://floot.com,Active,2
Alara,S25,B2B,,Procurement Platform for Dental Offices,http://alaradental.com,Active,
Socratix AI,S25,"B2B, Operations",,AI coworkers for fraud and risk teams.,https://getsocratix.ai,Active,3
Minimal AI,S25,B2B,,AI Agents for E-commerce Customer Support,https://gominimal.ai/,Active,3
Risely AI,S25,Education,,AI agents that automate administrative work across college campuses.,https://www.risely.ai/,Active,9
Omnara,S25,"B2B, Engineering, Product and Design",,Mobile & Web Interface for Claude Code & Codex,https://omnara.com,Active,3
Knowlify,S25,B2B,,Convert textual content into explainer videos in < 15s,https://knowlify.net/,Active,4
Autosana,S25,"B2B, Engineering, Product and Design",,AI Agents for Mobile & Web QA,https://autosana.ai,Active,3
April,S25,Consumer,,Voice AI Executive Assistant,https://tryapril.com,Active,2
Iron Grid,S25,"Fintech, Insurance",,AI Insurance for hardware.,https://getirongrid.com/,Active,2
Finto,S25,"B2B, Finance and Accounting",,AI accounting for enterprise finance teams,https://www.gofinto.com/,Active,7
Autumn AI,W26,"B2B, Infrastructure",,Stalk your prospects at scale.,https://autumnai.com,Active,2
Motives,S25,"B2B, Marketing",,Consumer focus groups run by AI,https://motives.ai/,Active,
Relling,S25,"B2B, Infrastructure",,RL and Research Infrastructure for Robotics & World Models,https://relling.co,Active,
Char,S25,"B2B, Productivity",,Open source AI notepad for meetings,https://char.com,Active,4
Manufact (formerly mcp-use),S25,"B2B, Infrastructure",,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps,https://manufact.com,Active,3
Novaflow,S25,Healthcare,,The AI data analyst for biology labs,https://www.novaflowapp.com/,Active,2
Perseus Defense,S25,"Industrials, Defense",,America's Golden Dome for Drones,https://perseusdefense.com,Active,3
Phases,S25,"Healthcare, Healthcare IT",,"Automating clinical trials, starting with patient recruitment.",https://phases.ai,Active,3
Solva,S25,"Fintech, Insurance",,Automates insurance claims and stops incorrect payouts,https://solvatechnology.com,Active,15
Albacore Inc.,S25,Government,,Autonomous undersea vehicles to deter maritime invasions.,https://www.albacore.inc,Active,15
GoRiff,S25,Consumer,,Cursor for music production,https://goriff.com/,Active,2
Mimos,S25,B2B,,Helping companies rank in AI search,https://www.trymimos.com/,Active,2
Nozomio,S25,"B2B, Engineering, Product and Design",,Context augmentation for agents,https://www.nozomio.com/,Active,1
VibeFlow,S25,B2B,,"Lovable, n8n and a database all in one platform",https://vibeflow.ai/,Active,
Comena,S25,"B2B, Supply Chain and Logistics",,AI agents for distributors and manufacturers to automate order entry.,https://comena.ai,Active,2
Normal,S25,Industrials,,Deploying and integrating useful robots,https://www.normalfactory.com/,Active,2
GhostEye,S25,"B2B, Security",,Vulnerability Management for Human Risk,https://ghosteye.ai,Active,3
Channel3,S25,"B2B, Retail",,Database of every product on the internet,https://trychannel3.com,Active,5
Epicenter,S25,Consumer,,"ChatGPT's memory feature in an open, portable format",https://epicenter.md,Active,1
Costream,S25,Consumer,,Indexing human dialogue through digital products,https://www.costream.ai,Active,2
Embedder,S25,"B2B, Engineering, Product and Design",,Cursor for Firmware,https://www.embedder.com,Active,4
Flai,S25,"Industrials, Automotive",,We Bring Customers to Your Dealership,https://www.useflai.com/,Active,15
b12 Labs,S25,"Healthcare, Drug Discovery and Delivery",,Chemical Copilot for Pharma and Biotech,https://b12-labs.com/,Active,2
Fulcrum,S25,"B2B, Analytics",,The agentic debugger for AI systems,https://fulcrumresearch.ai,Active,2
Trace,S25,"B2B, Productivity",,Context-aware orchestration between humans and AI.,https://www.trace.so/,Active,3
Interface,S25,Consumer,,The frontier lab for visual simulation,https://www.theinterface.com,Active,2
IronLedger.ai,S25,"Real Estate and Construction, Housing and Real Estate",,AI agents for property accounting,https://ironledger.ai,Active,2
Doe,S25,B2B,,"The boring stuff, handled. Everything else, supercharged.",https://doe.so/,Active,4
Louiza Labs,S25,"B2B, Analytics",,Hebbia for Pharmaceutical Evidence,https://www.louizalabs.co,Active,2
Parachute,S25,"Healthcare, Healthcare IT",,Infrastructure for hospitals to monitor and deploy clinical AI,https://parachute-ai.com,Active,2
Riverbank,S25,B2B,,AI-native Red Teaming and Offensive Security,https://www.riverbank.sh/,Active,1
Kalinda,S25,"B2B, Legal",,Deep research for class action law firms,https://www.kalinda.ai/,Active,2
Stellon Labs,S25,"B2B, Engineering, Product and Design",,Building tiny frontier AI models that run on edge devices,https://stellonlabs.com/,Active,2
BootLoop,S25,"B2B, Engineering, Product and Design",,"Firmware in minutes, not months - rigorously tested on real hardware",https://bootloop.ai/,Active,3
Nexa Labs,S25,"Industrials, Agriculture",,Implantable microchips and AI for cattle monitoring,https://nexa.farm/,Active,3
AgentHub,S25,B2B,,The simulation and evaluation engine for AI agents,https://www.agenthublabs.com,Active,2
cocreate,S25,"Consumer, Content",,video production software,https://cocreate.so,Active,4
Slashy,S25,"B2B, Productivity",,Cursor for Email,https://www.slashy.com/,Active,3
Wedge,S25,Healthcare,,Palantir for Healthcare AI Agents,https://www.wedge.health,Active,2
CareSwift,S25,Healthcare,,AI scribe for Ambulance Reports,https://www.careswift.com/,Active,2
Pangolin,S25,"B2B, Infrastructure",,"Identity-aware VPN and proxy for remote access to anything, anywhere.",https://pangolin.net,Active,2
Tesora,S25,"B2B, Operations",,AI-Native Underwriting and Actuarial Workflows,https://tesora.ai,Active,2
DeepAware AI,S25,"B2B, Infrastructure",,Help AI data centers unlock more compute and become more efficient,https://deepawareai.com/,Active,2
Stockline,S25,B2B,,AI-native ERP for food wholesalers,https://stockline.ai,Active,2
Sagekit,S25,"B2B, Productivity",,AI workspace for research and writing,https://sagekit.com,Active,2
Proliferate,S25,"B2B, Engineering, Product and Design",,The autonomous engineering organization,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,Active,2
Nori,F25,"Healthcare, Consumer Health and Wellness",,AI health coach in your pocket,https://nori.ai,Active,3
DeepGrove,S25,B2B,,Frontier Intelligence. On Any Device.,https://deepgrove.ai,Active,3
Frizzle,S25,Education,,AI Grading for Teachers,https://www.frizzle.com,Active,2
Skope,S25,B2B,,AI Agents for SMB Law Firms.,https://useskope.com,Active,2
OnDeck AI,S25,"B2B, Analytics",,"Analyze any footage, without training a model",https://www.ondeckai.com,Active,5
Alter,S25,"B2B, Security",,Secure access control and authorization platform for agent workflows,https://alterai.dev,Active,2
Imprezia,S25,"B2B, Infrastructure",,The World's First AI Ad Network.,https://imprezia.ai,Active,3
Lilac,S25,B2B,,We automatically monetize idle GPUs,https://getlilac.com,Active,4
Janet AI,S25,B2B,,The AI-Native Jira,https://janet.ai,Active,2
Cyberdesk,S25,"B2B, Engineering, Product and Design",,Self learning computer use agent for developers,https://www.cyberdesk.io,Active,2
Panels,S25,"B2B, Engineering, Product and Design",,Audio Data for AI Labs,https://www.usepanels.com/,Active,2
Wafer,S25,"B2B, Engineering, Product and Design",,AI that makes AI fast,https://www.wafer.ai,Active,4
Nuntius,S25,"B2B, Infrastructure",,Making Models Follow Rules.,https://www.nuntius.ai,Active,2
Orange Slice,S25,"B2B, Sales",,Agentic sales enrichment spreadsheet,https://orangeslice.ai,Active,2
Overdrive Health,W26,"Healthcare, Healthcare Services",,AI Powered Medical Billing,https://overdrive.health,Active,1
Monarcha,S25,B2B,,Turn maps into data,https://monarcha.ai,Active,2
Return Signals,W26,B2B,,AI customer support that proactively engages high-value users,https://www.returnsignals.com,Active,2
Lotas,S25,"B2B, Analytics",,AI for Data Science and 3D,https://www.lotas.ai,Active,2
Design Arena,S25,Consumer,,World's largest crowdsourced benchmark for AI-generated design,https://www.designarena.ai/,Active,3
EffiGov,S25,Government,,The AI OS for Cities,https://effigov.com,Active,3
"Galactic Resource Utilization Space, Inc. (GRU Space)",W26,"Industrials, Aviation and Space",,Building the First Hotel on the Moon,https://gru.space,Active,2
bitrig,S25,"B2B, Engineering, Product and Design",,"Vibe code, test, and deploy Swift apps. All from your iPhone.",https://bitrig.com,Active,3
Null Labs,F25,"Industrials, Defense",,End-to-end Simulation for Defense Autonomy,https://n0labs.com,Active,2
Lark,S25,"B2B, Engineering, Product and Design",,The E2E testing layer for AI-driven development,https://getlark.ai/,Active,2
Topological,S25,"B2B, Engineering, Product and Design",,Physics-based foundation models for CAD optimization.,https://www.topological.com,Active,2
datafruit,S25,"B2B, Engineering, Product and Design",,AI DevOps Engineer,https://datafruit.dev/,Active,4
ContextFort,S25,"B2B, Security",,Visibility and Controls for Browser Agents,https://contextfort.ai/,Active,2
ZeroEval,S25,B2B,,Auto-optimizer for AI agents,https://zeroeval.com,Active,2
Verne Robotics,S25,"Industrials, Manufacturing and Robotics",,AI models that teach robots new skills in hours,https://vernerobotics.com/,Active,4
Playgent,S25,"Healthcare, Healthcare IT",,Sandboxes for AI agents,https://useplaygent.com,Active,2
Liva AI,S25,B2B,,Audio & Video Data,https://www.theliva.ai,Active,2
Tidy,S25,Consumer,,Does anything you can imagine with a text,https://withtidy.com,Active,2
Bidflow,W26,"Real Estate and Construction, Construction",,AI Copilot for Electrical Estimating,https://usebidflow.com,Active,2
Shor,S25,"Fintech, Payments",,"The fastest, most affordable payroll for global teams",https://www.tryshor.com,Active,4
Golpo,S25,"B2B, Productivity",,Most Powerful AI Video Gen Model for Explainer Videos From Documents,https://video.golpoai.com/,Active,4
gitdot,S25,"B2B, Productivity",,A better GItHub,https://www.gitdot.io/,Active,2
Lanesurf,S25,B2B,,Voice AI for booking freight,https://www.lanesurf.com/,Active,4
Astor,S25,"Fintech, Consumer Finance",,AI advisor for retail investors,https://astor.app/,Active,5
Blank Bio,S25,"Healthcare, Therapeutics",,RNA-based AI for better drugs and smarter clinical trials.,http://blank.bio/,Active,3
truthsystems,S25,"B2B, Infrastructure",,Automatically blocking risky behavior with real-time governance agents,https://www.truthsystems.ai,Active,3
AgentMail,S25,"B2B, Infrastructure",,Email Inboxes for AI Agents,https://agentmail.to,Active,6
TraceRoot.AI,S25,"B2B, Engineering, Product and Design",,Open source AI agents auto-fix your production bugs,https://traceroot.ai,Active,2
Halluminate,S25,B2B,,Data and RL environments to automate knowledge work,https://halluminate.ai/,Active,2
MangoDesk,S25,B2B,,RL environments for software engineering,https://www.mangodesk.com/,Active,2
The Prompting Company,S25,"B2B, Marketing",,We help products get mentioned in ChatGPT.,https://www.promptingcompany.com,Active,4
Acrely,S25,B2B,,Enterprise Voice Agents,https://www.acrely.ai,Active,6
Dedalus Labs,S25,B2B,,Connect any LLM to any MCP tools and create complex agents in minutes.,https://www.dedaluslabs.ai/,Active,9
Parametric,F25,"Industrials, Manufacturing and Robotics",,Robots for frontline physical labor — starting with laundry,https://parametric.company/,Active,7
Closera,S25,B2B,,AI employees for commercial real estate,https://closera.com,Active,2
Meteor,S25,Consumer,,An AI-Native Browser,https://browse.dev,Active,2
GETASAP,S25,"B2B, Supply Chain and Logistics",,8-hour Produce Distribution for Retailers of Any Size,https://www.getasap.us,Active,17
Adaptional,S25,B2B,,AI underwriting for insurance,https://www.adaptional.com/,Active,
Prox,F25,"B2B, Supply Chain and Logistics",,AI agents for third-party logistics,https://prox.inc,Active,2
Autonomous Technologies Group,F25,Fintech,,Superintelligent financial advisor,https://becomeautonomous.com/,Active,8
Pingo AI,S25,Consumer,,AI companion that helps you learn languages,https://pingo.ai,Active,5
Fifth Door,F25,"Consumer, Gaming",,Create and play games with AI,https://fifthdoor.com,Active,3
Rid,S25,Consumer,,Sell with a text.,https://rid.me,Active,1
Cohesive,X25,B2B,,The agentic CRM for blue-collar services,https://getcohesiveai.com,Active,2
Docket,X25,"B2B, Engineering, Product and Design",,AI agents for web testing,https://docketqa.com,Active,2
Sureform,X25,B2B,,Real-world data for world models and robotics,https://www.sureformhq.com/,Active,2
Foundation Industries,X25,Industrials,,We supply hard tech companies with critical components.,https://www.foundation-industries.com/,Active,3
Godela,X25,"B2B, Engineering, Product and Design",,AI Physics Engine to replace simulations and prototypes,http://godela.ai,Active,4
BitPatrol,X25,"B2B, Security",,AI-powered code security,https://www.bitpatrol.io/,Active,1
Aegis,X25,"Healthcare, Healthcare IT",,AI Agents to win denied health insurance claims.,https://aegishealth.us/,Active,3
Cascade Space,X25,"Industrials, Aviation and Space",,Deep space communications as a service,https://cascade.space,Active,3
Bond,X25,"B2B, Productivity",,Your AI Chief of Staff,https://www.bondapp.io/,Active,3
Blueshoe,X25,"B2B, Legal",,The AI platform for legal reasoning,https://blueshoe.com,Active,2
sieve,X25,"B2B, Finance and Accounting",,AI + human review to solve data cleaning - accessible via API or Excel,https://usesieve.com/,Active,2
Airweave,X25,"B2B, Infrastructure",,Context retrieval for AI agents across apps and databases,https://airweave.ai,Active,5
Theorem,X25,"B2B, Security",,Program verification so even your systems engineers can vibecode,https://theorem.dev,Active,4
Text.ai,X25,Consumer,,Alfi - your group chat with social skills to bring friends closer,https://www.text.ai/,Active,4
StarSling,X25,"B2B, Engineering, Product and Design",,Cursor for DevOps,https://www.starsling.dev/,Active,2
Wavedash,X25,"Consumer, Gaming",,Play the latest games in your browser with no downloads,https://wavedash.com,Active,3
Cactus,X25,B2B,,24/7 AI Call Center for Home Services,https://oncactus.com,Active,2
LineWise,X25,"Industrials, Manufacturing and Robotics",,Closing the Frontline Skills Gap with AI,https://www.linewise.io/,Active,6
Code Four,X25,Government,,Modernizing the police workflow.,https://codefour.us/,Active,3
Lumari,X25,"B2B, Supply Chain and Logistics",,AI Digital Workers for Supply Chain,https://www.lumari.io/,Active,4
mlop,X25,B2B,,Experiment tracking for training ML models,https://mlop.ai,Active,2
Den,X25,"B2B, Productivity",,Cursor for knowledge workers,https://getden.io,Active,2
